STDG_SGG_CD,flood_count,total_flood_area,avg_flood_area,max_flood_area,std_flood_area,avg_flood_depth,max_flood_depth,total_duration_days,avg_duration_days,max_duration_days,first_flood_year,last_flood_year,flood_years_count,annual_flood_frequency,flood_concentration
26440,17,2647563.0,155739.0,378718.1,177203.07382022892,0.5848235294117647,0.999,18.0,1.0588235294117647,2.0,2019.0,2021.0,3,5.666666666666667,5.666666666666667
26470,57,411663.874,7222.173228070175,65819.583,13424.90472833712,0.5622105263157895,1.3,27.0,0.47368421052631576,1.0,2017.0,2021.0,3,11.4,19.0
26500,16,249340.513,15583.7820625,79408.782,18131.676429630894,0.53725,1.533,6.0,0.375,1.0,2016.0,2021.0,4,2.6666666666666665,4.0
26710,10,939223.0,93922.3,178673.6,67188.37634447396,0.7957,1.797,10.0,1.0,1.0,2020.0,2020.0,1,10.0,10.0
28110,12,31403.51,2616.9591666666665,11830.31,3918.434489824309,0.34541666666666665,0.77,0.0,0.0,0.0,2021.0,2022.0,2,6.0,6.0
28177,3,37852.0,12617.333333333334,22398.8,8472.315974592386,0.3486666666666667,0.667,0.0,0.0,0.0,2018.0,2022.0,2,0.6,1.5
28200,2,2647.3,1323.65,1878.0,783.9692883015252,0.423,0.588,2.0,1.0,1.0,2022.0,2022.0,1,2.0,2.0
28237,1,9645.4,9645.4,9645.4,,9490.154,9490.154,0.0,0.0,0.0,2022.0,2022.0,1,1.0,1.0
28245,1,45.6,45.6,45.6,,0.3,0.3,0.0,0.0,0.0,2021.0,2021.0,1,1.0,1.0
28260,2,8749.7,4374.85,8611.6,5991.669310384211,2.9,5.49,1.0,0.5,1.0,2021.0,2022.0,2,1.0,1.0
29110,33,423012.2,12818.551515151516,33456.0,10915.61774752468,0.5715757575757575,1.22,63.0,1.9090909090909092,2.0,2020.0,2021.0,2,16.5,16.5
29140,73,11666764.47,159818.69136986302,509214.0,205311.00412601835,0.9606575342465753,3.173,88.0,1.2054794520547945,2.0,2018.0,2021.0,3,18.25,24.333333333333332
29155,45,316577.42,7035.053777777777,21712.0,6418.434359533224,0.5277333333333334,1.486,52.0,1.1555555555555554,2.0,2018.0,2021.0,3,11.25,15.0
29200,242,41299139.6,170657.60165289257,592009.0,153767.19122892254,1.3167520661157024,3.916,467.0,1.9297520661157024,2.0,2020.0,2020.0,1,242.0,242.0
30110,9,22864.0,2540.4444444444443,3324.3,684.7322106325785,0.5534444444444444,0.848,0.0,0.0,0.0,2020.0,2020.0,1,9.0,9.0
30140,1,10649.3,10649.3,10649.3,,0.556,0.556,0.0,0.0,0.0,2020.0,2020.0,1,1.0,1.0
30170,43,824987.738,19185.761348837208,71607.5,15632.20697061975,0.5752790697674419,1.522,0.0,0.0,0.0,2018.0,2020.0,2,14.333333333333334,21.5
30200,22,913732.893,41533.31331818182,283482.852,67251.15795747831,0.5650454545454545,0.945,4.0,0.18181818181818182,1.0,2016.0,2020.0,3,4.4,7.333333333333333
30230,15,169736.66100000002,11315.7774,48891.588,16797.54224878733,0.7019333333333333,1.35,0.0,0.0,0.0,2018.0,2020.0,3,5.0,5.0
31110,42,1738892.6609999998,41402.20621428571,134366.104,44988.10337470365,0.9431190476190477,2.922,0.0,0.0,0.0,2016.0,2016.0,1,42.0,42.0
31140,50,4808576.369,96171.52738,300989.786,91830.83440769432,0.5354,1.7,0.0,0.0,0.0,2016.0,2021.0,2,8.333333333333334,25.0
31200,58,19480966.149,335878.72670689656,663886.34,233932.92369560906,0.8769137931034483,2.5,7.0,0.1206896551724138,1.0,2016.0,2019.0,3,14.5,19.333333333333332
31710,195,20932230.876000002,107344.77372307693,263247.048,68436.7377884781,1.3572871794871795,4.0,4.0,0.020512820512820513,1.0,2016.0,2020.0,3,39.0,65.0
36110,17,83788.491,4928.734764705882,22621.1,7331.153203476317,0.40894117647058825,0.93,4.0,0.23529411764705882,1.0,2017.0,2022.0,5,2.8333333333333335,3.4
41111,7,998.5,142.64285714285714,207.5,47.04252888408024,0.2924285714285714,0.393,0.0,0.0,0.0,2020.0,2022.0,2,2.3333333333333335,3.5
41131,4,14634.1,3658.525,5826.8,1543.7718103722455,0.5345,0.918,4.0,1.0,1.0,2020.0,2022.0,2,1.3333333333333333,2.0
41150,38,3085.4,81.19473684210527,130.4,15.57553430376612,0.16921052631578948,0.4,730.0,19.210526315789473,365.0,2020.0,2020.0,1,38.0,38.0
41171,6,14753.5,2458.9166666666665,3239.3,713.3145545035982,0.22416666666666665,0.33,6.0,1.0,1.0,2022.0,2022.0,1,6.0,6.0
41173,2,4594.1,2297.05,2465.7,238.50711729422244,0.1285,0.129,2.0,1.0,1.0,2022.0,2022.0,1,2.0,2.0
41210,282,67443.9,239.1627659574468,1923.0,286.0784915749318,0.3000709219858156,0.4,514.0,1.822695035460993,2.0,2020.0,2022.0,3,94.0,94.0
41220,2,149160.907,74580.4535,75543.8,1362.3776855646522,0.7,0.7,0.0,0.0,0.0,2017.0,2017.0,1,2.0,2.0
41390,247,155599.815,629.9587651821862,34928.0,3898.837507559221,0.35024696356275303,1.59,191.0,0.7732793522267206,1.0,2017.0,2022.0,3,41.166666666666664,82.33333333333333
41430,11,73985.9,6725.990909090909,15126.8,5315.637674344357,0.121,0.33,20.0,1.8181818181818181,3.0,2022.0,2022.0,1,11.0,11.0
41450,16,54316.4,3394.775,27938.9,6752.324986995221,0.272125,0.544,128.0,8.0,8.0,2020.0,2020.0,1,16.0,16.0
41461,204,6925519.8,33948.626470588235,273679.2,54343.30370101884,0.8522254901960785,3.428,1106.0,5.421568627450981,14.0,2020.0,2022.0,2,68.0,102.0
41465,33,21779.6,659.9878787878788,3728.0,633.3328754284629,0.9103636363636364,1.685,297.0,9.0,9.0,2022.0,2022.0,1,33.0,33.0
41480,517,134612933.1,260373.17814313344,1390834.4,462177.0440656248,2.451597678916828,8.737,2654.0,5.133462282398453,14.0,2020.0,2020.0,1,517.0,517.0
41500,89,3417144.9,38394.886516853934,622473.2,115758.57812202809,0.691561797752809,2.406,21.0,0.23595505617977527,6.0,2020.0,2022.0,2,29.666666666666668,44.5
41550,39,5034256.7,129083.50512820513,304735.9,141907.3001265113,0.4667435897435897,1.144,34.0,0.8717948717948718,2.0,2020.0,2020.0,1,39.0,39.0
41570,7,154314.0,22044.85714285714,30900.3,11044.677726527701,0.4225714285714286,0.743,16.0,2.2857142857142856,4.0,2018.0,2018.0,1,7.0,7.0
41590,8,7709.2,963.65,3138.4,1050.4270614509946,0.319375,0.5,3.0,0.375,1.0,2020.0,2022.0,2,2.6666666666666665,4.0
