BASE_DATE,SIGUNGU_CD,SIGUNGU_NM,SIGUNGU_FNM,AREA,PERIMETER,CODE_DC,SOILDRA
20240630,48740,창녕군,경상남도 창녕군,210598000.00000000000,1374000.00000000000,1,매우양호
20240630,48820,고성군,경상남도 고성군,24867800.00000000000,287317.00000000000,1,매우양호
20240630,48840,남해군,경상남도 남해군,26945900.00000000000,311612.00000000000,1,매우양호
20240630,48850,하동군,경상남도 하동군,613449000.00000000000,3071550.00000000000,1,매우양호
20240630,48860,산청군,경상남도 산청군,613449000.00000000000,3071550.00000000000,1,매우양호
20240630,48870,함양군,경상남도 함양군,905258000.00000000000,5197780.00000000000,1,매우양호
20240630,48880,거창군,경상남도 거창군,810819000.00000000000,4985870.00000000000,1,매우양호
20240630,48890,합천군,경상남도 합천군,810819000.00000000000,4985870.00000000000,1,매우양호
20240630,50110,제주시,제주특별자치도 제주시,1488240000.00000000000,3370980.00000000000,2,양호
20240630,50130,서귀포시,제주특별자치도 서귀포시,1488240000.00000000000,3370980.00000000000,2,양호
