"SIDO_NAME","SIGUNGU_NAME","AREA_SIZE",산림면적,임목축적,산림율,평균 임목축적
"경상남도",밀양시,79865,51109,9339264,63.99,182.73
"경상남도",거제시,40382,28320,4948346,70.13,174.73
"경상남도",양산시,48563,35918,6281534,73.96,174.89
"경상남도",의령군,48290,32920,6029626,68.17,183.16
"경상남도",함안군,41660,21282,3854858,51.08,181.13
"경상남도",창녕군,53274,28901,5063345,54.25,175.2
"경상남도",고성군,51795,33941,6213913,65.53,183.08
"경상남도",남해군,35754,23763,4219142,66.46,177.55
"경상남도",하동군,67525,48540,8640485,71.88,178.01
"경상남도",산청군,79464,60891,10520038,76.63,172.77
"경상남도",함양군,72550,54985,9648148,75.79,175.47
"경상남도",거창군,80338,60810,10858528,75.69,178.56
"경상남도",합천군,98304,71284,12844459,72.51,180.19
"제주특별자치도",전체,185021,87334,13059207,47.2,149.53
"제주특별자치도",제주시,97867,44499,6627715,45.47,148.94
"제주특별자치도",서귀포시,87154,42835,6431492,49.15,150.15
