FLOOD_YEAR,DAM_RAIN,DEAD,SIGUNGU,FLOOD_GRD
2020,,,43150,2.0
2020,,,43150,5.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,1.0
2020,,,43150,5.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,1.0
2020,,,43150,3.0
2020,,,43150,5.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,5.0
2020,,,43150,5.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,5.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,5.0
2020,,,43150,1.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,1.0
2020,,,43150,1.0
2020,,,43150,1.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,5.0
2020,,,43150,3.0
2020,,,43150,1.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,5.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,1.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,1.0
2020,,,43150,3.0
2020,,,43150,3.0
2020,,,43150,2.0
2020,,,43150,5.0
2020,,,43150,1.0
2020,,,43150,2.0
2020,,,43150,3.0
2020,,,43150,3.0
