RIV_GRD,RIV_DIS_MIN,RIV_DIS_GRD,지역코드
2,478.260257869589,3,51830
2,472.676208282641,3,51830
2,464.70973837187,3,51830
2,468.304506619908,3,51830
2,297.178958807951,4,51830
2,302.873386830257,3,51830
2,304.788663392845,3,51830
2,326.807142178329,3,51830
2,323.670775581966,3,51830
2,299.912956110781,4,51830
2,186.619688194541,4,51830
2,194.368821461406,4,51830
2,223.415645875299,4,51830
3,1631.09932136141,1,51210
3,1581.71515722867,1,51210
2,477.029153029658,3,51820
2,463.717888339042,3,51820
2,382.18652618367,3,51820
2,393.260639182595,3,51820
2,383.792197026763,3,51820
2,377.91977322055,3,51820
2,367.149170768626,3,51820
2,400.343650771169,3,51820
2,361.456167815012,3,51820
2,377.040961293955,3,51820
2,227.731055555071,4,51820
2,225.321842866668,4,51820
2,377.770267300447,3,51820
2,277.990958234693,4,51820
2,266.353463012849,4,51820
2,288.065502444886,4,51820
2,359.40003078873,3,51820
2,324.075431513848,3,51820
2,332.83326022522,3,51820
2,321.726278675437,3,51820
2,374.356786289709,3,51820
2,334.618568016623,3,51820
2,365.697996699351,3,51820
2,381.43828970532,3,51820
2,351.076341311304,3,51820
2,323.262351428533,3,51820
2,336.580011259405,3,51820
2,329.59829203715,3,51820
2,318.828436418684,3,51820
2,325.925213498398,3,51820
2,380.315694546054,3,51820
2,303.324967378673,3,51820
3,141.622629100142,4,51820
3,656.145335835874,3,51820
3,707.338940468334,2,51820
3,341.975599393012,3,51820
3,212.948211392026,4,51820
3,180.569170932579,4,51820
3,210.118534261866,4,51820
3,184.998275142099,4,51820
3,231.956772756854,4,51820
3,125.97217457524,4,51820
3,196.605881314514,4,51820
3,400.772982851068,3,51820
3,797.290824775506,2,51820
3,801.335685190651,2,51820
3,788.419388068536,2,51820
3,788.130695476606,2,51820
3,795.994176689829,2,51820
3,802.735030811884,2,51820
3,841.722630446664,2,51820
3,827.031277956653,2,51820
3,433.8873055547,3,51820
3,773.872823620515,2,51820
3,464.309573558022,3,51820
3,801.855519785271,2,51820
3,491.383606746339,3,51820
3,855.910358025524,2,51820
3,862.969827433299,2,51820
3,865.136091305452,2,51820
3,539.499585133935,3,51820
3,548.277869366102,3,51820
3,551.821279205875,3,51820
2,840.836846690703,2,51820
3,414.836226945087,3,51820
3,427.557123732532,3,51820
3,345.635371873767,3,51820
3,334.734297852426,3,51820
3,384.263146874676,3,51820
3,410.606710515762,3,51820
3,349.104340252347,3,51820
3,229.390197377166,4,51820
3,223.514201553586,4,51820
2,292.395346001576,4,51820
2,295.38605881063,4,51820
2,302.273965740654,3,51820
2,257.677468570731,4,51820
2,254.136110427147,4,51820
2,257.933020012422,4,51820
2,267.624763002833,4,51820
3,251.165733521833,4,51820
3,249.657664014374,4,51820
3,242.686399399472,4,51820
3,240.354597761697,4,51820
3,598.154565814843,3,51820
3,633.781422185781,3,51820
3,539.893728462559,3,51820
3,545.100576911427,3,51820
3,495.76068915432,3,51820
3,535.411848380692,3,51820
3,490.104238487441,3,51820
3,425.944460106901,3,51820
3,420.71545208805,3,51820
3,395.569231894462,3,51820
3,377.86996027032,3,51820
3,356.573839050736,3,51820
3,317.856252812466,3,51820
3,297.96891895008,4,51820
3,304.282244094691,3,51820
3,298.316987742862,4,51820
3,307.985487871417,3,51820
3,385.638734875906,3,51820
3,262.759656283856,4,51820
3,291.500590438323,4,51820
3,257.535240831536,4,51820
3,278.228371124882,4,51820
3,400.063510669574,3,51820
3,433.75949691149,3,51820
3,439.300510812144,3,51820
3,444.480471958343,3,51820
3,447.007312117391,3,51820
3,8387.62841169273,1,51820
2,7257.95472492637,1,51780
3,319.918878269098,3,47930
3,304.242402249541,3,47930
3,214.000510887322,4,47930
3,251.633430327616,4,47930
3,184.467469510701,4,47930
3,817.650164955265,2,47930
3,827.565117154991,2,47930
3,846.919355275056,2,47930
3,710.271290565013,2,47930
3,655.739542256839,3,47930
3,602.101938907577,3,47930
3,531.13943267993,3,47930
3,594.503342331608,3,47930
3,467.057790483514,3,47930
3,448.947068869665,3,47930
3,447.4470352309,3,47930
3,474.32028584675,3,47930
3,401.033674707499,3,47930
3,324.551700157151,3,47930
3,344.76725978294,3,47930
3,303.729317329937,3,47930
3,310.245099046881,3,47930
3,300.619784395409,3,47930
3,324.803755775779,3,47930
3,355.361872391255,3,47930
3,285.232012194348,4,47930
3,255.654130126911,4,47930
3,143.727728676018,4,47930
3,170.587563847641,4,47930
3,164.139731251298,4,47930
3,337.757139195217,3,47930
2,345.474620694688,3,47930
2,366.030138232007,3,47930
2,298.289307077367,4,47930
2,304.445188720696,3,47930
2,268.686500737473,4,47930
2,1743.49160598812,1,51230
3,124.214295915673,4,51230
3,160.123564263488,4,51230
3,183.375160934606,4,51230
3,290.900323333107,4,51230
2,161.19973768528,4,51230
2,133.605437692032,4,51230
2,164.61246787651,4,51230
2,106.909739598789,4,51230
3,409.481239903161,3,51230
3,345.744019346144,3,51230
3,385.38237710352,3,51230
3,337.906137822993,3,51230
3,348.449070118868,3,51230
3,356.107226581322,3,51230
3,324.512889089216,3,51230
3,327.579699757869,3,51230
3,330.6578661265,3,51230
3,328.132495296179,3,51230
3,346.900509267513,3,51230
3,371.312523461948,3,51230
3,380.339110551084,3,51230
3,166.583829522566,4,51230
3,231.819107592484,4,51230
3,265.619339398507,4,51230
3,207.073188531189,4,51230
3,250.915795353477,4,51230
2,375.466197445179,3,51230
2,385.326440093426,3,51230
3,283.492799225576,4,51170
3,302.463039623838,3,51170
3,313.949296148492,3,51170
3,271.971424974124,4,51170
3,266.229053261046,4,51170
3,185.712336423454,4,51170
3,152.424708721086,4,51170
3,1305.80911750928,2,51170
2,232.024681060601,4,51230
2,242.13640022883,4,51230
2,264.81347253701,4,51230
2,272.674653982909,4,51230
2,196.055720998147,4,51230
2,195.132352985042,4,51230
2,136.320702530908,4,51230
2,241.305141180159,4,51230
2,224.798137263697,4,51230
2,301.373810836642,3,51230
3,649.048588388131,3,51230
3,658.570219811681,3,51230
3,696.858581375974,3,51230
3,820.682043792391,2,51230
3,838.63761247653,2,51230
3,850.236255589478,2,51230
3,889.597672187763,2,51230
3,915.587812466555,2,51230
3,917.80333582169,2,51230
3,921.090806514197,2,51230
3,299.704991081262,4,51150
3,279.164031238229,4,51150
2,453.630331677423,3,51150
3,182.499552491855,4,51170
3,640.674102901103,3,51170
3,189.636209343213,4,51170
3,308.775145102277,3,51170
3,372.276240318669,3,51170
3,459.645653735176,3,51170
3,502.181404749435,3,51170
3,551.69638233807,3,51170
3,649.738312944275,3,51170
3,286.818558743777,4,51150
3,239.569182769761,4,51170
3,220.904941832358,4,51170
3,211.963842641606,4,51170
3,198.079836948127,4,51170
2,204.05614781886,4,51190
3,826.609953533056,2,51150
3,829.122809812903,2,51150
3,761.509633084143,2,51150
3,178.815006698333,4,51760
3,443.409230969353,3,51830
3,466.433056919213,3,51830
3,410.706533927758,3,51830
3,290.36999924362,4,51830
3,285.32891212853,4,51830
3,296.468717547462,4,51830
3,151.7639970305,4,51830
3,272.769369480015,4,51830
3,213.561761696984,4,51830
3,251.354470534844,4,51830
3,307.093277349705,3,51830
3,221.891926608693,4,51830
3,258.192452888634,4,51830
3,875.8212086956,2,51150
3,857.425031532952,2,51150
3,515.319506038972,3,51150
3,484.240437301194,3,51150
3,491.296464204972,3,51150
3,476.101511057004,3,51150
3,428.512827642073,3,51150
3,450.738825131642,3,51150
3,419.209419393874,3,51150
3,332.427805498061,3,51150
3,476.433824863242,3,51150
3,839.18092990404,2,51150
3,881.668196280462,2,51150
3,876.980657832899,2,51150
3,908.108900986303,2,51150
3,449.128600165135,3,51150
2,924.8966962268,2,41370
2,193.402383198067,4,41610
3,276.631074336286,4,41131
2,716.594260181824,2,41115
2,563.548757682933,3,11680
2,161.089568892351,4,11200
2,188.286720902041,4,11305
2,572.649772503663,3,11350
2,567.530279934838,3,41250
3,331.099501344126,3,41590
3,721.728546882242,2,41590
3,3157.36360583413,1,41590
3,3349.56303171115,1,41590
2,3654.72316539837,1,41590
3,1062.2962169854,2,44270
3,1362.79074849538,2,44270
3,579.119004672297,3,44270
3,54.643041796741,5,44270
3,2027.93776244169,1,28720
3,1506.42608484029,1,28720
3,926.318397899124,2,28720
3,918.597310742599,2,28720
3,1207.13446817762,2,28720
3,1106.07431616152,2,28720
3,1441.3127702237,2,28720
3,1543.25684052862,1,28720
3,1295.95021122629,2,28720
3,1077.15315781113,2,28720
3,1009.58100220667,2,28720
2,261.005352767392,4,11620
2,918.190200724955,2,11530
1,1711.27790166393,1,11545
2,35.9850733855562,5,41430
2,485.887939197632,3,41173
3,486.709140163857,3,41113
1,320.261774528217,3,41171
3,2417.02882245838,1,41590
3,2614.87247129022,1,41590
3,470.087557681468,3,41273
3,278.516229547108,4,41590
3,754.200742339547,2,28185
3,515.453406027547,3,28110
3,473.819051383354,3,28110
3,330.189537178083,3,28110
3,434.47011749327,3,28110
3,401.779513632419,3,28110
3,412.254571527764,3,28110
3,1144.77972092829,2,28110
3,840.769795357368,2,28110
3,579.988694976269,3,28720
3,1261.50362565987,2,28720
3,133.489184558936,4,28720
3,287.528918926705,4,28720
3,334.374074488105,3,28720
3,324.961077753954,3,28720
3,1179.09628391463,2,28720
3,1115.18601325157,2,28720
3,1137.54339386411,2,28720
3,1118.54514795001,2,28720
3,1090.8815865846,2,28720
3,220.111326840976,4,28720
3,220.38345294224,4,28720
3,224.329727634681,4,28720
3,1120.79466647638,2,28720
3,290.324609511459,4,28720
3,1031.62391516613,2,28720
3,982.014552615202,2,28720
3,975.965806935982,2,28720
3,968.268180965862,2,28720
2,1421.23856825211,2,41285
3,220.810958047953,4,41196
3,72.3435497970401,5,11140
2,562.351273142865,3,11410
2,59.3967804714986,5,11440
3,627.720136237612,3,41281
3,228.726001742143,4,28710
3,288.514690656226,4,28710
3,344.93698353414,3,28710
3,9648.16199319759,1,28710
3,14313.9199182608,1,28710
3,13499.5925787718,1,28710
3,624.143233279856,3,28710
3,952.602488567518,2,28110
3,291.154341651645,4,28720
3,143.151511623678,4,28710
3,554.023369624207,3,47111
3,525.125458009605,3,47111
3,455.240064292775,3,47111
3,478.195017744072,3,47111
3,500.76021576795,3,47111
3,574.939438812158,3,47111
3,619.484901913926,3,47111
3,295.607132210512,4,47111
3,207.16850744269,4,47111
3,192.242863308005,4,47111
3,135.61456846483,4,47111
3,476.789902277839,3,47111
3,487.03381377026,3,47111
3,454.979971727925,3,47111
3,549.254077890965,3,47111
3,448.146830423366,3,47111
3,386.154648374109,3,47111
3,237.276347184079,4,47111
3,256.141941180604,4,47111
3,132.859530629575,4,47113
3,325.694634193542,3,47113
3,313.644223318337,3,47113
3,240.692161016388,4,47113
3,214.910465214523,4,47113
3,273.448170607935,4,47113
3,269.237876388065,4,47113
3,341.67798884446,3,47113
3,374.210176151811,3,47113
1,563.775687092214,3,47111
2,1946.49691925452,1,47111
2,1989.69020351071,1,47111
3,290.80704981028,4,47113
3,361.595819124049,3,47113
3,383.171805088059,3,47113
2,455.26762603998,3,47113
2,65.1427419155085,5,47113
2,265.121682609353,4,47113
3,396.668548289124,3,47770
3,398.414345881657,3,47770
3,399.804338115641,3,47770
3,441.373446092611,3,47770
3,438.321401438304,3,47770
3,279.090681523926,4,47770
3,407.853394057253,3,47770
3,353.628555369889,3,47770
3,376.73512737657,3,47770
2,560.033399310885,3,47770
2,565.166251581718,3,47770
2,234.020268165522,4,47750
2,442.182882475193,3,47770
2,459.56567048581,3,47770
2,626.931223306247,3,47770
2,750.998203202425,2,47770
2,602.564290395826,3,47770
2,610.856294967496,3,47770
3,275.473439892497,4,47930
3,322.464247499341,3,47930
3,338.782408895425,3,47930
3,172.620758658283,4,47930
2,310.947390401191,3,47930
2,246.657116383977,4,47930
3,273.794556344065,4,47930
3,308.062334336129,3,47930
3,293.717721636061,4,47930
3,307.73725953005,3,47930
3,316.556193688719,3,47930
3,298.060022023105,4,47930
3,308.841289340717,3,47930
3,315.91283857393,3,47930
3,325.022283199457,3,47930
3,351.194042641881,3,47930
3,361.953680323307,3,47930
3,154.471952366263,4,47930
3,138.501076198576,4,47930
3,143.119056435813,4,47930
3,141.268427288085,4,47930
3,196.059073161044,4,47930
3,141.399680282839,4,47930
3,178.217074614561,4,47930
3,165.17096871211,4,47930
3,144.145244373447,4,47930
3,148.733169521581,4,47930
3,255.217152194771,4,47930
3,280.460970518069,4,47930
3,135.027602021447,4,47930
3,215.87849968208,4,47930
3,262.896225555531,4,47930
3,267.795406704429,4,47930
3,320.057876817444,3,47930
3,175.658308328795,4,47930
3,174.043730843937,4,47930
3,188.916530798818,4,47930
3,208.424311427561,4,47930
3,237.055023797949,4,47930
3,258.07299647968,4,47930
3,324.252886523717,3,47930
3,329.689281613453,3,47930
3,87.0588750599348,5,27720
3,420.505230905494,3,47170
2,496.643882260969,3,47210
2,395.019674354173,3,43800
1,143.198681307293,4,30170
3,188.444221340105,4,30140
3,113.278063164978,4,30110
2,400.601707171051,3,36000
1,833.227035559287,2,43113
3,319.245126874618,3,43745
3,639.819358356447,3,52130
3,482.176461609643,3,52130
3,776.355865087158,2,52130
3,794.573398753168,2,52130
3,933.645805277484,2,52130
3,1007.69870191974,2,52130
3,1063.64593405709,2,52130
3,1188.94151038517,2,52130
3,1207.45455931755,2,52130
3,575.401117173607,3,44770
3,2956.69684967622,1,44770
3,2545.96358838011,1,44770
3,2504.72290554755,1,44770
3,2380.49626034937,1,44770
3,3770.43787517527,1,44770
3,504.852023070169,3,44770
3,1710.89263878773,1,44770
3,137.569985606623,4,52130
2,414.5291875581,3,44180
3,1220.16171531472,2,44825
3,1020.1081037327,2,44825
3,3342.74106741287,1,44825
3,3253.3286698456,1,44825
3,3266.8292864256,1,44825
3,3194.58658046344,1,44825
3,2378.36557247579,1,44825
3,3197.6884897989,1,44825
3,3062.50336489448,1,44825
3,3258.88025295725,1,44825
3,2334.07495945472,1,44825
3,3156.34018709612,1,44825
3,2308.62515114985,1,44825
3,2281.35034353439,1,44825
3,3106.10694934845,1,44825
3,3236.93793231413,1,44825
3,3242.68071867605,1,44825
3,3119.12036224415,1,44825
3,2313.94155739314,1,44825
3,3102.32850994099,1,44825
3,2357.83791986956,1,44825
3,2022.42548938337,1,44825
3,2338.99011409814,1,44825
3,2025.00409091584,1,44825
3,3195.39785130579,1,44825
3,3145.12834482537,1,44825
3,2000.70059347207,1,44825
3,1968.25018561481,1,44825
3,1981.71095160259,1,44825
3,2209.35496555397,1,44825
3,2195.5728441825,1,44825
3,2167.02708016956,1,44825
3,2154.96655040097,1,44825
3,2167.09471438717,1,44825
3,2177.09830559032,1,44825
3,3052.56980040533,1,44825
3,3087.54477023778,1,44825
3,3053.54881882263,1,44825
3,3128.39759958391,1,44825
3,3045.05850207863,1,44825
3,3071.72245053375,1,44825
3,3063.10872728104,1,44825
3,3094.2509588111,1,44825
3,3048.67175334724,1,44825
3,3055.11327811043,1,44825
3,2998.15342801493,1,44825
3,2421.33979829276,1,44825
3,2454.94288925491,1,44825
3,2445.97000692103,1,44825
3,2447.03741110777,1,44825
3,2972.6395123455,1,44825
3,3048.60329902279,1,44825
3,2458.66302017444,1,44825
3,2445.72976193465,1,44825
3,3003.62485731974,1,44825
3,2899.84238624067,1,44825
3,2575.66273816446,1,44825
3,2595.5905033366,1,44825
3,2577.80190323343,1,44825
3,2567.41899869019,1,44825
3,809.755449906252,2,44825
3,777.2981048807,2,44825
3,815.198722934074,2,44825
3,817.718664325049,2,44825
2,2018.33591931249,1,44180
2,2471.77056099474,1,44180
2,2351.54542244977,1,44180
2,2734.72561020512,1,44180
2,2500.37605465129,1,44180
2,2858.82698795843,1,44180
2,2486.74772894593,1,44180
2,2268.20889943938,1,44180
2,2852.44795391456,1,44180
3,741.993727398917,2,44180
3,1067.7245902576,2,44180
3,2378.93894111674,1,44180
3,2538.63124547446,1,44180
3,587.35351574192,3,44825
3,600.120634329594,3,44825
3,1327.23557704688,2,44825
3,1310.94298476279,2,44825
3,1293.40553047744,2,44825
3,1305.81178954566,2,44825
3,1315.93247056605,2,44825
3,807.890239265994,2,44825
3,981.634245366913,2,44825
3,969.474826312277,2,44825
3,916.56311248367,2,44825
3,515.386298856087,3,44825
3,410.979602202675,3,44825
3,403.142222731029,3,44825
3,391.759382950539,3,44825
3,353.720865283914,3,44825
3,340.931745688598,3,44825
3,490.398880651963,3,44825
3,492.092067782871,3,44825
3,746.842157648508,2,44825
3,383.168896387177,3,44825
3,355.509158448742,3,44825
3,371.899713407204,3,44825
3,291.573838562445,4,44825
3,366.312977239659,3,44825
3,276.55853268621,4,44825
3,275.762499738093,4,44825
3,346.777856651794,3,44825
3,249.423797944809,4,44825
3,257.431276796677,4,44825
3,3231.3172986503,1,44270
2,2650.33321783688,1,41590
2,2706.64863236834,1,41590
2,2752.6659705128,1,41590
2,2750.24987066289,1,41590
2,2779.63953209008,1,41590
2,2773.46317827364,1,41590
2,2783.5866778178,1,41590
2,2783.55448908659,1,41590
2,2763.93869812538,1,41590
2,3064.85815866276,1,41590
3,3193.91231409353,1,44210
3,584.490692584955,3,44825
3,517.858304393633,3,44825
3,480.758592733688,3,44825
3,772.607185551816,2,44825
3,820.894747150828,2,44825
3,801.562960423002,2,44825
3,1124.93352790407,2,44825
3,1112.29686616987,2,44825
3,1078.9213906522,2,44825
3,1090.67639865222,2,44825
3,1094.9206366955,2,44825
3,1112.77601992255,2,44825
3,1077.52187624782,2,44825
3,2205.04289516444,1,52130
3,1178.08677248263,2,52130
3,1165.12404671915,2,52130
3,1155.94910896431,2,52130
3,1108.92719261112,2,52130
3,1078.48865399008,2,52130
3,1056.9329464772,2,52130
3,897.681403845287,2,52130
3,855.503924979751,2,52130
3,775.867857361709,2,52130
3,997.29084806592,2,52130
2,1858.99830965872,1,26500
2,1048.45869073497,2,26350
2,1040.04396051651,2,26350
2,1024.85925629717,2,26350
2,1021.3201903165,2,26350
2,1166.11656988787,2,26710
2,1155.22692552689,2,26710
2,1159.22200558403,2,26710
2,1124.77578566884,2,26710
2,1114.40762806274,2,26710
2,1063.19302938808,2,26710
2,993.224556400721,2,26710
2,981.145635548005,2,26710
2,912.212679311169,2,26710
2,553.526817668746,3,26710
3,388.655215765189,3,26710
3,293.950473343656,4,26710
3,489.496198455796,3,26710
3,387.073561352912,3,26710
2,144.328360544613,4,26260
3,63.5929569430409,5,26200
3,1439.70089889823,2,26110
3,2301.06003959611,1,31170
2,1203.53163787126,2,31710
2,1166.8907172433,2,31710
2,1107.85663742956,2,31710
2,1083.05786634101,2,31710
2,1076.52046832526,2,31710
2,1048.42732858318,2,31710
2,948.773147136797,2,31710
2,950.824985129844,2,31710
2,981.169245596573,2,31710
2,922.57358231551,2,31710
2,886.51863507673,2,31710
2,873.669789682105,2,31710
2,882.988164244809,2,31710
2,726.236710763454,2,31710
2,710.133451155143,2,31710
2,735.80454432106,2,31710
2,724.324324296104,2,31710
2,729.050539570901,2,31710
2,661.791418514065,3,31710
2,656.037692308209,3,31710
3,401.365994892302,3,31710
3,394.180473150091,3,31710
3,304.810602797172,3,31710
3,306.353094604609,3,31710
3,295.181634860964,4,31710
3,289.374263276802,4,31710
3,255.930038209734,4,31710
3,929.874571608544,2,31710
3,906.987417027707,2,31710
3,780.397343923208,2,31710
3,846.504440206439,2,31710
3,870.14731951826,2,31710
3,153.061563189999,4,31710
2,979.868510924943,2,31710
2,860.920590251298,2,31710
2,845.598360351094,2,31710
2,854.893812620133,2,31710
2,426.861059734539,3,31710
2,413.337933557896,3,31710
2,418.39998314414,3,31710
3,96.3459245165562,5,31710
3,78.1040960360578,5,31710
3,112.990600629468,4,31710
3,130.540851813539,4,31710
3,112.411767000121,4,31710
3,140.367604185581,4,31710
3,121.34717640368,4,31710
3,117.300195458491,4,31710
3,123.755067183881,4,31710
3,151.049098487925,4,31710
3,132.352973786153,4,31710
3,128.682603327968,4,31710
3,124.312452012003,4,31710
3,139.380385516359,4,31710
3,159.845029102464,4,31710
3,145.304018910281,4,31710
3,157.74506546308,4,31710
3,169.364041471055,4,31710
3,159.784187684576,4,31710
3,166.368271202588,4,31710
3,166.691096768856,4,31710
3,171.903615355041,4,31710
3,182.787822499733,4,31710
3,194.485174353929,4,31710
2,745.011486087022,2,31710
2,744.23049168905,2,31710
2,314.749381909629,3,31710
2,311.317475545136,3,31710
2,759.953988345861,2,31710
2,280.839967332268,4,31710
2,275.417928942835,4,31710
2,298.200062244591,4,31710
2,261.92957338106,4,31710
2,285.322409393215,4,31710
2,755.309936062575,2,31710
2,758.284541294497,2,31710
2,732.405588058986,2,31710
2,734.970747151538,2,31710
2,755.93574779349,2,31710
2,748.4075363236,2,31710
2,788.113660248786,2,31710
2,904.705043144134,2,31710
2,876.542614424114,2,31710
2,935.859974465661,2,31710
2,897.673516107188,2,31710
2,950.029853488489,2,31710
3,292.735118354712,4,31710
3,129.565861790007,4,26710
2,336.522537000995,3,26410
2,384.75287444231,3,31170
2,312.46223727154,3,31170
3,199.036008906374,4,31170
3,192.522475023206,4,31170
3,214.471226100993,4,31170
3,241.476981438087,4,31170
3,247.754463994338,4,31170
3,234.673387009848,4,31170
3,256.53750628535,4,31170
3,318.987266246385,3,31170
3,308.882869525598,3,31170
3,284.134016207627,4,31170
2,744.138592889268,2,31200
2,374.589671698943,3,31170
2,391.992446569184,3,31170
2,326.5539193133,3,31170
2,338.490507749021,3,31170
2,369.459797374438,3,31170
2,382.084784120511,3,31170
2,759.915026510138,2,31200
2,755.961078766396,2,31200
2,748.06845285882,2,31200
2,747.070890476271,2,31200
2,757.06536503843,2,31200
2,731.340347320398,2,31200
2,721.527067330885,2,31200
2,699.440243665338,3,31200
2,703.725922324979,2,31200
2,717.018554779576,2,31200
2,711.794597284616,2,31200
2,654.151520413316,3,31200
2,725.612200739008,2,31200
3,820.098078165381,2,47130
3,848.229418692179,2,47130
3,814.017677911012,2,47130
3,783.038860474311,2,47130
3,788.596423475395,2,47130
3,451.416658383008,3,47130
3,512.301514147427,3,47130
3,200.085808619043,4,47130
3,179.425437680181,4,47130
3,812.593576185356,2,47111
3,976.508006378043,2,47111
3,1091.31101451439,2,47111
3,1085.98952481452,2,47111
3,1245.65921287839,2,47111
3,191.860950466293,4,47130
3,571.637901533286,3,47130
3,556.657019069403,3,47130
3,530.875775949821,3,47130
3,430.540339244234,3,47130
2,734.424068324932,2,47130
3,2042.43271243324,1,26380
3,12660.9456477872,1,26380
3,12594.7139336495,1,26380
3,12571.442011994,1,26380
3,12561.0359956448,1,26380
3,12548.2819886476,1,26380
3,12517.5527098853,1,26380
3,12511.3425558553,1,26380
3,12511.2064851229,1,26380
3,7827.28876808342,1,26380
3,7940.03586513839,1,26380
3,7942.86900064715,1,26380
3,7941.36004678625,1,26380
3,7929.89151807922,1,26380
3,7872.58406496971,1,26380
3,7862.79650613407,1,26380
3,7908.29838429377,1,26380
3,7855.56367790817,1,26380
3,7882.44359042422,1,26380
3,7842.31841668934,1,26380
3,7829.75024081343,1,26380
3,7829.41419512369,1,26380
3,7847.46433236137,1,26380
3,7803.45573297801,1,26380
