SIGUNGU,FLOOD_YEAR,FLOOD_MONTH,FLOOD_AREA,RAIN_TOTAL,FLOOD_GRD,DAM_RAIN,DEAD,RIV_GRD,RIV_DIS_MIN,RIV_DIS_GRD,DRAINAGE_GRD,PUMP_CNT
11110,2016,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2016,2,0.0,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2016,3,0.0,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2016,4,0.0,76.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2016,5,0.0,160.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2016,6,0.0,54.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2016,7,0.0,358.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2016,8,0.0,67.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2016,9,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2016,10,0.0,74.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2016,11,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2016,12,0.0,61.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2017,1,0.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2017,2,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2017,3,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2017,4,0.0,61.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2017,5,0.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2017,6,0.0,66.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2017,7,0.0,621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2017,8,0.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2017,9,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2017,10,0.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2017,11,0.0,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2017,12,0.0,34.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2018,1,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2018,2,0.0,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2018,3,0.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2018,4,0.0,130.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2018,5,0.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2018,6,0.0,171.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2018,7,0.0,185.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2018,8,0.0,202.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2018,9,0.0,68.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2018,10,0.0,120.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2018,11,0.0,79.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2018,12,0.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2019,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2019,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2019,3,0.0,26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2019,4,0.0,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2019,5,0.0,37.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2019,6,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2019,7,0.0,194.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2019,8,0.0,190.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2019,9,0.0,139.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2019,10,0.0,55.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2019,11,0.0,78.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2019,12,0.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,2020,1,0.0,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
